"year","jurisdiction","cause_subgroup","deaths"
"2015","Oregon","Diabetes","1137"
"2015","Oregon","Influenza and pneumonia","194"
"2015","Oregon","Alzheimer disease and dementia","4022"
"2015","Pennsylvania","Influenza and pneumonia","2863"
"2015","Pennsylvania","Hypertensive diseases","2615"
"2015","Pennsylvania","Heart failure","4213"
"2015","Pennsylvania","Diabetes","3771"
"2015","Pennsylvania","Other diseases of the respiratory system","3749"
"2015","Pennsylvania","Renal failure","3020"
"2015","Pennsylvania","Alzheimer disease and dementia","11903"
"2015","Pennsylvania","Chronic lower respiratory disease","6665"
"2015","Pennsylvania","Malignant neoplasms","28847"
"2015","Pennsylvania","Ischemic heart disease","17826"
"2015","Pennsylvania","Other diseases of the circulatory system","10008"
"2015","Pennsylvania","Cerebrovascular diseases","7023"
"2015","Pennsylvania","Sepsis","2379"
"2015","Puerto Rico","Renal failure","750"
"2015","Puerto Rico","Heart failure","130"
"2015","Puerto Rico","Chronic lower respiratory disease","986"
"2015","Puerto Rico","Other diseases of the respiratory system","498"
"2015","Puerto Rico","Diabetes","2928"
"2015","Puerto Rico","Sepsis","645"
"2015","Puerto Rico","Alzheimer disease and dementia","2440"
"2015","Puerto Rico","Malignant neoplasms","5182"
"2015","Puerto Rico","Cerebrovascular diseases","1303"
"2015","Puerto Rico","Ischemic heart disease","3232"
"2015","Puerto Rico","Other diseases of the circulatory system","854"
"2015","Puerto Rico","Hypertensive diseases","1100"
"2015","Puerto Rico","Influenza and pneumonia","454"
"2015","Rhode Island","Influenza and pneumonia","44"
"2015","Rhode Island","Ischemic heart disease","1614"
"2015","Rhode Island","Hypertensive diseases","35"
"2015","Rhode Island","Chronic lower respiratory disease","230"
"2015","Rhode Island","Other diseases of the circulatory system","199"
"2015","Rhode Island","Alzheimer disease and dementia","1311"
"2015","Rhode Island","Cerebrovascular diseases","121"
"2015","Rhode Island","Malignant neoplasms","2258"
"2015","South Carolina","Alzheimer disease and dementia","4836"
"2015","South Carolina","Diabetes","1323"
"2015","South Carolina","Cerebrovascular diseases","2533"
"2015","South Carolina","Other diseases of the respiratory system","1055"
"2015","South Carolina","Heart failure","1189"
"2015","South Carolina","Chronic lower respiratory disease","2838"
"2015","South Carolina","Hypertensive diseases","998"
"2015","South Carolina","Ischemic heart disease","5239"
"2015","South Carolina","Sepsis","744"
"2015","South Carolina","Influenza and pneumonia","649"
"2015","South Carolina","Renal failure","796"
"2015","South Carolina","Malignant neoplasms","9706"
"2015","South Carolina","Other diseases of the circulatory system","3431"
"2015","South Dakota","Ischemic heart disease","1221"
"2015","South Dakota","Influenza and pneumonia","47"
"2015","South Dakota","Cerebrovascular diseases","141"
"2015","South Dakota","Diabetes","24"
"2015","South Dakota","Chronic lower respiratory disease","308"
"2015","South Dakota","Malignant neoplasms","1651"
"2015","South Dakota","Other diseases of the circulatory system","122"
"2015","South Dakota","Alzheimer disease and dementia","455"
"2015","Tennessee","Cerebrovascular diseases","3765"
"2015","Tennessee","Ischemic heart disease","10451"
"2015","Tennessee","Other diseases of the respiratory system","1576"
"2015","Tennessee","Malignant neoplasms","14829"
"2015","Tennessee","Influenza and pneumonia","1828"
"2015","Tennessee","Heart failure","1352"
"2015","Tennessee","Sepsis","1015"
"2015","Tennessee","Alzheimer disease and dementia","6165"
"2015","Tennessee","Chronic lower respiratory disease","4412"
"2015","Tennessee","Other diseases of the circulatory system","3973"
"2015","Tennessee","Diabetes","1876"
"2015","Tennessee","Renal failure","1142"
"2015","Tennessee","Hypertensive diseases","1925"
"2015","Texas","Renal failure","4028"
"2015","Texas","Cerebrovascular diseases","10631"
"2015","Texas","Sepsis","4480"
"2015","Texas","Influenza and pneumonia","3244"
"2015","Texas","Other diseases of the respiratory system","4438"
"2015","Texas","Heart failure","5235"
"2015","Texas","Other diseases of the circulatory system","11788"
"2015","Texas","Ischemic heart disease","24868"
"2015","Texas","Malignant neoplasms","39485"
"2015","Texas","Diabetes","5552"
"2015","Texas","Chronic lower respiratory disease","10301"
"2015","Texas","Hypertensive diseases","5694"
"2015","Texas","Alzheimer disease and dementia","17485"
"2015","United States","Diabetes","79068"
"2015","United States","Ischemic heart disease","365292"
"2015","United States","Alzheimer disease and dementia","244074"
"2015","United States","Chronic lower respiratory disease","153954"
"2015","United States","Other diseases of the circulatory system","174328"
"2015","United States","Hypertensive diseases","78647"
"2015","United States","Cerebrovascular diseases","139572"
"2015","United States","Renal failure","48860"
"2015","United States","Heart failure","74750"
"2015","United States","Malignant neoplasms","592883"
"2015","United States","Influenza and pneumonia","56291"
"2015","United States","Other diseases of the respiratory system","61078"
"2015","United States","Sepsis","40558"
"2015","Utah","Ischemic heart disease","1667"
"2015","Utah","Diabetes","437"
"2015","Utah","Hypertensive diseases","13"
"2015","Utah","Cerebrovascular diseases","919"
"2015","Utah","Other diseases of the circulatory system","1186"
"2015","Utah","Alzheimer disease and dementia","1780"
"2015","Utah","Malignant neoplasms","3170"
"2015","Utah","Renal failure","82"
"2015","Utah","Chronic lower respiratory disease","776"
"2015","Utah","Influenza and pneumonia","136"
"2015","Utah","Heart failure","801"
"2015","Utah","Other diseases of the respiratory system","119"
"2015","Vermont","Other diseases of the circulatory system","13"
"2015","Vermont","Chronic lower respiratory disease","46"
"2015","Vermont","Alzheimer disease and dementia","367"
"2015","Vermont","Malignant neoplasms","1362"
"2015","Vermont","Ischemic heart disease","824"
"2015","Virginia","Other diseases of the respiratory system","1601"
"2015","Virginia","Alzheimer disease and dementia","6359"
"2015","Virginia","Sepsis","1139"
"2015","Virginia","Other diseases of the circulatory system","4384"
"2015","Virginia","Ischemic heart disease","7560"
"2015","Virginia","Diabetes","2021"
"2015","Virginia","Hypertensive diseases","1337"
"2015","Virginia","Cerebrovascular diseases","3364"
"2015","Virginia","Heart failure","1909"
"2015","Virginia","Malignant neoplasms","14721"
"2015","Virginia","Influenza and pneumonia","1349"
"2015","Virginia","Renal failure","1438"
"2015","Virginia","Chronic lower respiratory disease","3282"
"2015","Washington","Ischemic heart disease","6310"
"2015","Washington","Chronic lower respiratory disease","3148"
"2015","Washington","Influenza and pneumonia","741"
"2015","Washington","Cerebrovascular diseases","2684"
"2015","Washington","Hypertensive diseases","1487"
"2015","Washington","Other diseases of the circulatory system","3676"
"2015","Washington","Other diseases of the respiratory system","1385"
"2015","Washington","Renal failure","192"
"2015","Washington","Sepsis","232"
"2015","Washington","Malignant neoplasms","12681"
"2015","Washington","Diabetes","1792"
"2015","Washington","Heart failure","662"
"2015","Washington","Alzheimer disease and dementia","5733"
"2015","West Virginia","Other diseases of the respiratory system","184"
"2015","West Virginia","Heart failure","495"
"2015","West Virginia","Malignant neoplasms","4803"
"2015","West Virginia","Cerebrovascular diseases","1036"
